Wall time,Step,Value
1710810307.9513946,0,2.1455016136169434
1710810370.547639,1,1.3910813331604004
1710810433.7706404,2,1.222414493560791
1710810497.447749,3,1.1370080709457397
1710810560.6678715,4,1.0937345027923584
1710810624.1955237,5,1.0437891483306885
1710810687.8168557,6,1.024611234664917
1710810751.4767773,7,1.0030642747879028
1710810814.3461075,8,0.9848834872245789
1710810877.9753191,9,0.9726501107215881
1710810941.3070967,10,0.9599965214729309
1710811004.6124544,11,0.9516603350639343
1710811068.9090734,12,0.9429179430007935
1710811132.7611444,13,0.9376822710037231
1710811196.1470895,14,0.924691379070282
1710811259.9263413,15,0.92606121301651
1710811323.1046789,16,0.9093401432037354
1710811386.3360531,17,0.9053900837898254
1710811449.3511088,18,0.9081838726997375
1710811512.4953814,19,0.8966891169548035
1710811575.8305986,20,0.8956083059310913
1710811639.351069,21,0.8857718706130981
1710811702.9141545,22,0.9060929417610168
1710811766.4982066,23,0.885976254940033
1710811829.9513342,24,0.8723196983337402
1710811893.3685648,25,0.8731874227523804
1710811956.9024458,26,0.8701314330101013
1710812020.8826692,27,0.8652891516685486
1710812084.3288028,28,0.876085102558136
1710812147.6081629,29,0.8683544397354126
1710812211.0691102,30,0.8585083484649658
1710812274.4098973,31,0.8517590761184692
1710812337.392696,32,0.8463704586029053
1710812401.0145369,33,0.8519473075866699
1710812464.4118347,34,0.8450455665588379
1710812528.5730884,35,0.853659987449646
1710812592.368727,36,0.835392415523529
1710812655.8870225,37,0.8467275500297546
1710812719.3808105,38,0.8408591747283936
1710812783.3006306,39,0.8470816612243652
