Wall time,Step,Value
1710734948.647017,0,2.013159990310669
1710735071.3775077,1,1.3414360284805298
1710735193.8939044,2,1.2037434577941895
1710735315.9862864,3,1.1327502727508545
1710735438.9799461,4,1.0888155698776245
1710735561.8159535,5,1.0653786659240723
1710735684.7736385,6,1.0371875762939453
1710735807.6988258,7,1.019869327545166
1710735930.619174,8,1.010561466217041
1710736053.4611182,9,0.9909783601760864
1710736175.97236,10,0.9711258411407471
1710736298.523805,11,0.9638699889183044
1710736421.8913577,12,0.9704248309135437
1710736543.9809155,13,0.9574744701385498
1710736666.324086,14,0.9510359168052673
1710736790.0230305,15,0.943286120891571
1710736912.6130645,16,0.9488637447357178
1710737035.438454,17,0.9366511702537537
1710737158.4516675,18,0.9468441605567932
1710737281.1272604,19,0.9359944462776184
1710737403.6482599,20,0.9267539381980896
1710737526.4363682,21,0.9187067151069641
1710737649.1976504,22,0.9359453320503235
1710737772.4247956,23,0.9117586612701416
1710737894.841206,24,0.9223767518997192
1710738017.3438652,25,0.9189982414245605
1710738139.9150589,26,0.9280233979225159
1710738262.9127023,27,0.9197985529899597
1710738385.0232882,28,0.9098638296127319
1710738507.2090673,29,0.9175451397895813
1710738629.941067,30,0.9034093022346497
1710738752.512657,31,0.9078149795532227
1710738874.5945544,32,0.8977748155593872
1710738996.6075265,33,0.8915916085243225
1710739118.6866326,34,0.9000006318092346
1710739240.4726243,35,0.9038187265396118
1710739362.4991293,36,0.9045374393463135
1710739485.191437,37,0.8967222571372986
1710739607.8773954,38,0.9096465110778809
1710739730.4416823,39,0.8886973261833191
